UNITID,Year,INSTNM,State,Total_Students,Known_Students,Unknown_Students,In_State_Students,Out_State_Students,Foreign_Students,US_Students,Avg_Cost,Median_HH_Income
110556,2016,California State University-Fresno,CA,3302,3302,0,3212,34,56,3246,17683,53295.09
240453,2016,University of Wisconsin-Milwaukee,WI,3117,3116,1,2638,422,56,3060,21984,65921.14
135081,2016,Keiser University-Ft Lauderdale,FL,6901,6468,433,5366,1047,55,6413,40713,55699.66
163268,2016,University of Maryland-Baltimore County,MD,1538,1533,5,1386,92,55,1478,25997,83010.29
229027,2016,The University of Texas at San Antonio,TX,4377,4377,0,4223,99,55,4322,18923,63798.29
122436,2016,University of San Diego,CA,1133,1124,9,565,504,55,1069,70440,79883.39
172051,2016,Saginaw Valley State University,MI,1357,1357,0,1267,36,54,1303,22353,57827.75
239105,2016,Marquette University,WI,2005,2003,2,573,1377,53,1950,59725,75591.25
136950,2016,Rollins College,FL,538,538,0,283,204,51,487,66805,69363.5
240426,2016,University of Wisconsin-Superior,WI,376,376,0,154,172,50,326,18731,53835.5
482680,2016,University of North Georgia,GA,3959,3959,0,3791,120,48,3911,16816,64276.692131199976
110510,2016,California State University-San Bernardino,CA,2791,2791,0,2734,9,48,2743,19114,59070.9
188030,2016,New Mexico State University-Main Campus,NM,1842,1834,8,1398,389,47,1787,19760,43867.23
151290,2016,Indiana Institute of Technology,IN,1540,1530,10,855,629,46,1484,40161,60972.77
172644,2016,Wayne State University,MI,2588,2580,8,2492,42,46,2534,24541,61912.62
134945,2016,Jacksonville University,FL,551,549,2,312,191,46,503,54991,63671.93
120403,2016,Otis College of Art and Design,CA,203,198,5,115,37,46,152,66695,73811.67
187985,2016,University of New Mexico-Main Campus,NM,3402,3392,10,2835,511,46,3346,19351,49538.77
120254,2016,Occidental College,CA,502,500,2,194,261,45,455,76600,75275.66
163204,2016,University of Maryland-University College,MD,990,756,234,329,382,45,711,19764,73191.4
200800,2016,University of Akron Main Campus,OH,3090,3085,5,2727,314,44,3041,24604,58778.75
399911,2016,Soka University of America,CA,104,104,0,24,36,44,60,50968,79623.38
199139,2016,University of North Carolina at Charlotte,NC,3453,3452,1,3187,221,44,3408,23478,65762.02
183026,2016,Southern New Hampshire University,NH,4270,4192,78,585,3564,43,4149,50505,71986.54
366711,2016,California State University-San Marcos,CA,2152,2152,0,2066,43,43,2109,22531,72827.06
202134,2016,Cleveland State University,OH,1921,1921,0,1752,126,43,1878,24010,57782.89
181215,2016,University of Nebraska at Kearney,NE,1008,1008,0,883,83,42,966,23319,51335.53
129525,2016,University of Hartford,CT,1301,1301,0,520,739,42,1259,57475,82221.8
128744,2016,University of Bridgeport,CT,487,487,0,214,232,41,446,53853,63241.6
201441,2016,Bowling Green State University-Main Campus,OH,3545,3543,2,3086,416,41,3502,24529,63749.73
204857,2016,Ohio University-Main Campus,OH,4321,4321,0,3772,509,40,4281,29534,59563.35
102553,2016,University of Alaska Anchorage,AK,1825,1820,5,1705,75,40,1780,18946,72116.59
